1:904165 [-0.16305764  4.65142072 -0.23944419]
3:166065099 [ 0.25041417  4.46707077 -0.26059636]
3:166085645 [ 0.37491292  4.51415239 -0.21773175]
3:166447974 [-0.18737181  4.87711424 -0.2582294 ]
3:167184878 [ 0.15853853  4.50364552 -0.15603471]
3:168066580 [ 0.40651087  4.48830646 -0.25855347]
3:168645151 [-0.23937012  4.74209464 -0.32983802]
3:168743995 [ 0.25209479  4.43491764 -0.21432599]
3:169481271 [ 0.16892361  4.4413587  -0.25476066]
3:170010234 [-0.13742123  4.66900953 -0.25018658]
3:170568001 [ 0.22378884  4.40507791 -0.17577059]
3:171145711 [-0.43493904  5.07052496 -0.25658025]
3:171270126 [-0.24855205  4.87566576 -0.24643713]
3:171872996 [-0.29897045  4.89433129 -0.19149881]
3:171995605 [ 0.07926382  4.59157391 -0.28359437]
3:173136240 [ 0.10509285  4.6129713  -0.29916504]
3:173573365 [-0.36256399  5.13027472 -0.1910889 ]
3:174260303 [ 0.05596218  4.61397876 -0.28854418]
3:174401785 [-0.05224468  4.63339    -0.16087664]
3:174823729 [ 0.01748227  4.59862692 -0.21770667]
3:174893775 [ 0.5167473   4.16951991 -0.06550056]
3:174929045 [-0.1265922   4.5690523  -0.16963416]
3:175718927 [ 0.14070291  4.53712568 -0.24660009]
3:176799074 [ 0.3393268   4.44624749 -0.23928502]
3:177198248 [ 0.05019047  4.62195484 -0.28120613]
3:177229309 [ 0.09351076  4.49020109 -0.35518485]
3:177551779 [ 0.20287696  4.43845964 -0.26084365]
3:177823987 [ 0.03308656  4.60641504 -0.32210952]
3:178682459 [ 0.088749    4.49520787 -0.31134918]
3:178833722 [-0.31150217  4.65850052 -0.222246  ]
3:179441421 [ 0.31899113  4.38038843 -0.2275231 ]
3:179465758 [ 1.76318895e-03  4.67375364e+00 -3.44786353e-01]
3:179664102 [ 0.00774083  4.66587981 -0.32415301]
3:180533251 [-0.04049547  4.68152754 -0.26418595]
3:180550702 [-2.47500267e-03  4.58975518e+00 -2.11533997e-01]
3:180733341 [-0.21821941  4.77573118 -0.27122566]
3:180981244 [-0.45203798  4.81869444 -0.20130105]
3:182382262 [ 0.11200381  4.47024828 -0.29766512]
3:182662324 [-0.9180711   4.79621916 -0.20668631]
3:182853670 [ 0.51405598  4.04495787 -0.10836754]
3:182897920 [ 0.21723802  4.5097399  -0.23175452]
3:183212026 [-0.14074024  4.66107849 -0.26803368]
3:183640384 [ 0.48404515  4.55499597 -0.23292377]
3:183699516 [ 0.06852192  4.58559614 -0.34799271]
3:183861243 [ 0.33142466  4.33786671 -0.16445377]
3:183996068 [-0.02347335  4.64148828 -0.22398944]
3:184046470 [ 0.11798389  4.59879727 -0.2833209 ]
3:184173466 [-0.04968926  4.63935969 -0.20854405]
3:184188338 [-0.18401666  4.65558937 -0.2892727 ]
3:184293769 [-0.41519739  4.81375712 -0.13261694]
3:184910042 [-0.88410624  4.65784625 -0.21717501]
3:184931013 [-0.28323869  4.71884222 -0.26195935]
3:185490240 [-0.42986725  4.86549651 -0.23866905]
3:185990096 [-0.10582616  4.8256833  -0.29160485]
3:186358297 [-1.1264784   4.68169975 -0.24801178]
3:186390627 [ 0.25732618  4.34186865 -0.20483494]
3:186480206 [-9.45924033e-04  4.63214752e+00 -2.52720014e-01]
3:186793702 [ 0.58316287  4.53292614 -0.20147512]
3:186807282 [-0.03049298  4.64222499 -0.22753912]
3:187121796 [ 0.2244713   4.26533502 -0.21221474]
3:187218336 [-0.32392947  4.81288543 -0.12956793]
3:187312018 [-0.2973613   4.77271712 -0.2260665 ]
3:187421219 [-0.5601564   4.7242462  -0.22635553]
3:187856109 [-0.21374017  4.70854161 -0.31248969]
3:188048842 [-0.07631859  4.73365323 -0.26796479]
3:188923369 [-0.60595949  4.98902169 -0.16382054]
3:189232641 [-0.24612374  4.67187914 -0.23431532]
3:189260625 [ 0.36004381  4.32680659 -0.25559355]
3:189356941 [ 0.10310393  4.57418063 -0.36022962]
3:189459104 [ 0.2031055   4.34097633 -0.22195013]
3:189563530 [-0.19481652  4.81314305 -0.21029977]
3:189583298 [-0.18557983  4.70318655 -0.26004215]
3:189628072 [-0.2964912   4.87931417 -0.21272977]
3:189660809 [-0.02717389  4.68509314 -0.2779745 ]
3:189877822 [-0.17625638  4.80710559 -0.28477289]
3:190167533 [ 0.35142374  4.59342402 -0.2363457 ]
3:190308527 [-0.17440284  4.89817992 -0.25812535]
3:190546144 [-0.19792217  4.85504099 -0.24251754]
3:190700956 [-0.39187502  4.73426992 -0.26326185]
3:190737794 [-0.13776438  4.73385368 -0.21933232]
3:190787990 [-0.42968075  4.84294388 -0.26062944]
3:191179193 [-0.14665263  4.7964746  -0.20674991]
3:191228196 [-0.40706834  4.75236527 -0.24876067]
3:191719292 [-0.11932941  4.71504345 -0.30542427]
3:191839031 [ 0.4744294   3.89867794 -0.11785994]
3:191873224 [ 0.43161257  4.01180135 -0.42412284]
3:192440779 [-0.0902617   4.6837677  -0.23408809]
3:192994543 [ 0.17840739  4.49341635 -0.24246524]
3:193061741 [-0.9696385   4.62878687 -0.23872255]
3:193336676 [ 0.0493748   4.62182159 -0.28487928]
3:193412672 [ 0.25471005  4.25674832 -0.27261659]
3:193444413 [-0.13261561  4.79438272 -0.29498115]
3:193653537 [ 0.02775883  4.58481079 -0.23701042]
3:194062519 [-0.26108374  4.70935961 -0.15599343]
3:194062668 [ 0.21104774  4.58509165 -0.19306846]
3:194325058 [-0.48136631  4.67868039 -0.3368027 ]
3:194526266 [ 0.6066374   4.38940059 -0.17335389]
3:194533470 [ 0.09749097  4.4923537  -0.18847213]
3:194858374 [ 0.20444933  4.51755838 -0.31101533]
3:195516980 [-0.53139333  4.67989878 -0.33133006]
3:195615376 [-0.29366469  4.83742506 -0.07522817]
3:195877603 [-0.16774178  4.76351684 -0.22653634]
3:196199376 [ 0.64231903  4.56518179 -0.23616115]
3:196281263 [-0.58702319  4.65255332 -0.22220978]
3:196494702 [ 0.05157048  4.58931496 -0.29855959]
3:197133986 [-0.24312151  4.83195612 -0.37021735]
3:197495334 [ 0.43840159  3.96598695 -0.24270178]
4:756986 [-0.62121634  5.00000251 -0.19060315]
4:779077 [-0.32711993  4.66519507 -0.25799134]
4:779670 [-0.88191996  4.93851282 -0.03786988]
4:995305 [ 0.01895092  4.54802223 -0.1092241 ]
4:1006924 [-0.13138789  4.64861085 -0.26387579]
4:1018705 [ 0.10441333  4.5080954  -0.16806744]
4:1244879 [ 0.22590034  4.45326222 -0.2805212 ]
4:1573364 [-0.2325259   4.78679654 -0.21292672]
4:2287421 [-0.48326545  5.24450836 -0.25157667]
4:2367744 [-0.17541681  4.69398236 -0.24425348]
4:2390303 [ 0.35632556  4.21986262 -0.28691686]
4:2499117 [ 0.28844697  4.48748089 -0.31279224]
4:2934308 [-0.15040901  4.86395567 -0.31540658]
4:3346617 [-0.44191926  5.28858413 -0.26450466]
4:3451109 [-0.01254066  4.59118921 -0.23068744]
4:4249620 [ 0.05951675  4.57143532 -0.19272621]
4:4355774 [ 0.05025739  4.59074864 -0.2810884 ]
4:4365066 [ 0.09641209  4.51135648 -0.19971426]
4:4595807 [ 0.02126112  4.64694443 -0.29685413]
4:5448429 [ 0.24624162  4.49528343 -0.28866504]
4:5550882 [ 0.46218947  4.07199089 -0.17966843]
4:5690898 [-1.70449519  4.65306829 -0.24762184]
4:5690902 [ 0.33846007  4.40667216 -0.14549375]
4:5754579 [ 0.54996919  4.60973506 -0.26617375]
4:5926551 [ 0.42489313  4.1825222  -0.27091417]
4:6058497 [ 0.32995316  4.61461032 -0.2887931 ]
4:6361632 [ 0.02502373  4.59908627 -0.2458462 ]
4:6465791 [ 0.10009931  4.51548882 -0.24814121]
4:6738883 [ 0.00840238  4.62564172 -0.32752207]
4:7208680 [-0.12995355  4.73461753 -0.31449243]
4:7326199 [ 0.14754793  4.55235407 -0.22410246]
4:7335948 [ 0.36206647  4.50335759 -0.29084695]
4:7415038 [ 0.07668897  4.52045656 -0.28869947]
4:7466980 [-0.49611744  4.82714232 -0.222064  ]
4:7714212 [ 0.03418603  4.52159885 -0.16242188]
4:7800345 [-0.33880497  5.16653416 -0.29869523]
4:7980298 [ 0.17151581  4.56011085 -0.28964686]
4:8336320 [-0.24716806  4.69744833 -0.08359775]
4:9626409 [-0.136504    4.72209437 -0.28717538]
4:9760239 [-0.12432689  4.74609901 -0.26985059]
4:10172479 [ 0.06550069  4.6196202  -0.23858959]
4:10804019 [-0.24610927  4.83828716 -0.27672709]
4:11112475 [-0.16509378  4.83579734 -0.259175  ]
4:11201074 [-0.30135783  4.75777075 -0.13125828]
4:12196573 [ 0.40806586  4.3466448  -0.26164577]
4:12218164 [ 0.22560073  4.23172241 -0.19472997]
4:12593395 [-0.5708268   4.8824238  -0.24175342]
4:12725164 [ 0.2308984   4.37105509 -0.17499159]
4:13601337 [ 0.25413421  4.54390461 -0.23933989]
4:13882785 [ 0.29044422  4.15122757 -0.20237601]
4:14183204 [ 0.43338442  4.26544604 -0.18733213]
4:14188496 [ 0.12597869  4.38314283 -0.22722723]
4:14660437 [ 0.56833768  3.89217066 -0.15914642]
4:14903605 [-0.14768361  4.62242462 -0.21644293]
4:15451255 [ 0.24765084  4.52561932 -0.22079123]
4:15522282 [ 2.70528761e-03  4.58885094e+00 -1.94152207e-01]
4:15964349 [-0.1671724   4.6652463  -0.25491209]
4:15968139 [ 0.07843245  4.56673494 -0.25500142]
4:16054926 [ 0.05368668  4.59998979 -0.24702206]
4:16293543 [-0.45927502  4.70265    -0.1489852 ]
4:16365531 [-0.36953109  4.76690892 -0.32179178]
4:16553922 [ 0.52891351  4.38645999 -0.26769433]
4:16726650 [-0.171237    4.6634989  -0.31681275]
4:16914239 [-0.06198655  4.6400095  -0.19934632]
4:17035562 [-0.03533302  4.70378362 -0.3593723 ]
4:17331894 [-0.26413275  4.71396789 -0.27860945]
4:17401363 [-0.25630583  4.86323622 -0.26918756]
4:17449199 [ 0.31877944  4.2767497  -0.17767749]
4:17660021 [-1.30915203  4.67480225 -0.12776905]
4:17819695 [ 0.9078825   4.58858925 -0.28067392]
4:17950826 [-0.25450432  4.6654524  -0.28158735]
4:18442072 [ 0.03643041  4.58438697 -0.27820935]
4:19056475 [-0.29975956  4.71851173 -0.28472351]
4:19607089 [ 0.0761122   4.57063415 -0.25357985]
4:19616649 [-0.29459087  4.63896521 -0.21296557]
4:19928602 [ 0.2327449   4.44193776 -0.24775515]
4:20053908 [-0.34130774  5.08898414 -0.34790002]
4:20064263 [-0.2895833   5.02998011 -0.17923741]
4:20440256 [ 0.25840995  4.50620923 -0.20849457]
4:20530374 [-0.5912993   4.71220336 -0.2929495 ]
4:20814216 [ 0.26977846  4.52565952 -0.29393544]
4:21159965 [-0.31346363  4.69365102 -0.21638191]
4:21160249 [-0.42613824  4.75081961 -0.2627597 ]
4:21286777 [-0.2972709   4.93290189 -0.20594349]
4:21382332 [ 0.12664748  4.4174161  -0.1469007 ]
4:21629865 [-0.30176534  4.77669085 -0.23452432]
4:21764761 [-0.47339999  5.13292612 -0.19384835]
4:22940211 [-0.70933358  4.74944932 -0.2218514 ]
4:23015784 [ 0.22466857  4.42462372 -0.22130716]
4:23424060 [-0.71635305  5.14300164 -0.18472672]
4:24280482 [-0.29622929  5.13197992 -0.25881811]
4:24413937 [ 0.20361591  4.51277027 -0.27298414]
4:24618440 [ 0.00838104  4.60196643 -0.2894266 ]
4:25294239 [-0.22703938  4.73369123 -0.31977399]
4:25440525 [-0.13296576  4.71511898 -0.23274637]
4:25881877 [-0.25205385  4.73992123 -0.18465605]
4:27339904 [ 0.46370771  3.90177572 -0.18809528]
4:28618870 [ 0.2560533   4.50176192 -0.23305634]
4:28887284 [ 0.21914867  4.30901396 -0.30671966]
4:29382730 [ 0.33923975  4.11927724 -0.25835464]
4:29802167 [-0.22120703  4.71649074 -0.19047812]
4:30168595 [-0.37254746  4.84064082 -0.18750325]
4:30610801 [ 0.07790424  4.60407607 -0.28215615]
4:31151357 [ 0.16375016  4.49183877 -0.32476863]
4:31343877 [-0.65098067  4.62830351 -0.17042233]
4:31895086 [ 0.38883388  4.48231403 -0.29711008]
4:32452973 [ 0.02822166  4.61239222 -0.3313919 ]
4:33240041 [ 0.0619585   4.47993258 -0.1895968 ]
4:34607713 [-0.45041078  4.83548425 -0.2671573 ]
4:36387599 [-0.04481204  4.62779317 -0.27371989]
4:37184279 [ 0.05989019  4.57992424 -0.22045859]
4:37319167 [ 0.10404944  4.6472979  -0.31378986]
4:37858815 [-0.26736229  4.81442633 -0.20233004]
4:38087105 [-0.10263898  4.75472913 -0.29250898]
4:38138856 [ 0.24767886  4.56414624 -0.19962575]
4:38570708 [-0.12408816  4.69049813 -0.2429435 ]
4:38741849 [-0.05880111  4.70809111 -0.34262498]
4:38774785 [-0.05360553  4.63983405 -0.30008925]
4:38776491 [-0.25376872  4.86869117 -0.28030581]
4:38879949 [-0.2063966   4.7154254  -0.25861422]
4:38931097 [ 0.26683657  4.32453247 -0.20455745]
4:38933859 [ 0.03216625  4.6229101  -0.25368997]
4:39064162 [ 0.34051511  4.16988608 -0.36815874]
4:39408762 [ 0.20918995  4.61677983 -0.26059615]
4:39748523 [-0.04635511  4.66652881 -0.25998083]
4:40139719 [ 0.78929207  3.12012352 -0.08938658]
4:40225912 [ 0.0600471   4.46938776 -0.18359689]
4:40350651 [-0.41372594  4.79826497 -0.22523327]
4:40598634 [-0.36788022  4.93150512 -0.26202308]
4:41203125 [-0.64496186  4.81770725 -0.18252422]
4:41322070 [-0.22635113  4.75787267 -0.19697893]
4:41746460 [-0.29393422  4.87752341 -0.27270265]
4:42326229 [-0.22798185  4.93964821 -0.23028156]
4:42576420 [ 0.26043448  4.50520197 -0.25287491]
4:42726868 [ 0.49306464  3.77974633 -0.22015041]
4:42856894 [ 0.34666518  4.4179401  -0.1810645 ]
4:42975329 [ 0.01709492  4.66278114 -0.2947892 ]
4:43226893 [-0.01445061  4.64979412 -0.31602512]
4:43523444 [ 0.2772458   4.31917232 -0.25019062]
4:44050101 [-0.11092635  4.65515306 -0.21365742]
4:44407133 [-0.59079638  4.67867561 -0.21855309]
4:44520666 [ 0.54671323  3.6948152  -0.17318265]
4:44592060 [ 0.30444599  4.26195277 -0.19939923]
4:44693710 [ 0.37450593  4.65217391 -0.31818182]
4:45175691 [ 0.19506114  4.51648011 -0.28008938]
4:45525885 [ 0.14097398  4.50820547 -0.23132126]
4:47150997 [-0.00856831  4.64892113 -0.31515683]
4:47350872 [ 0.00565679  4.58393834 -0.20049111]
4:47485111 [-0.37196168  5.27560338 -0.31975822]
4:47742275 [ 0.28641309  4.57255189 -0.2949294 ]
4:48312390 [-0.11152811  4.71647834 -0.30642694]
4:48318390 [-0.01364562  4.57205164 -0.1815997 ]
4:48427773 [-0.21924067  4.75949842 -0.27443915]
4:48582909 [ 0.48797347  4.22780305 -0.23754489]
4:53456416 [-0.24091665  4.68861884 -0.29301988]
4:53959141 [ 0.42349237  4.46206478 -0.25066151]
4:54474244 [ 0.03525534  4.60312727 -0.27007066]
4:54802080 [-0.13846844  4.61225308 -0.1928999 ]
4:55424289 [-0.55180167  4.91308258 -0.13095655]
4:55574182 [ 0.22528552  4.38475148 -0.24807066]
4:55610660 [-0.17169145  4.70831283 -0.21983928]
4:55643116 [ 0.07979254  4.56334439 -0.20885985]
4:55814774 [ 0.18945937  4.41429386 -0.29789078]
4:55979558 [-0.11693259  4.66528676 -0.26916498]
4:56584126 [ 0.34567081  4.15062794 -0.06941844]
4:56924685 [-0.13133329  4.64875073 -0.23738067]
4:57127117 [-0.21759774  4.74074256 -0.31980595]
4:57314905 [-0.04862356  4.60554412 -0.24427627]
4:57526349 [-0.0738335   4.60215623 -0.16633738]
4:57558426 [-0.14088696  4.71206909 -0.29567424]
4:58087036 [ 0.32667985  4.28323305 -0.25381213]
4:58179993 [ 0.28000119  4.41298153 -0.28227385]
4:58684651 [-0.24254933  4.76280133 -0.22261923]
4:58807069 [-0.34882239  4.88904396 -0.25180758]
4:59211129 [-0.04163029  4.67870874 -0.26873842]
4:59606624 [ 0.40325576  4.55337725 -0.25846847]
4:60908435 [-0.25033581  4.73921477 -0.21463342]
4:61220878 [ 0.4251203   4.0718322  -0.09754473]
4:61440626 [-0.25851627  4.85510775 -0.21769082]
4:61663916 [-0.18556583  4.81926118 -0.19356243]
4:62251077 [ 0.12249257  4.54163287 -0.23649191]
4:62606930 [-0.4791392   4.69880968 -0.21933443]
4:62616180 [-0.17248468  4.84642828 -0.21660842]
4:62686499 [-0.10292225  4.60651894 -0.22360774]
4:62726874 [ 0.22760963  4.44069331 -0.25982439]
4:62923797 [-0.19635524  4.66993557 -0.26767563]
4:62953487 [-0.41751828  5.01304497 -0.18945555]
4:63309789 [ 0.30675703  4.31131426 -0.1808546 ]
4:63509409 [ 0.36302143  4.12256705 -0.19090028]
4:63859056 [ 0.3701982   4.48636929 -0.24514003]
4:64333810 [-0.2484365   4.93138684 -0.2411725 ]
4:64976578 [ 0.29619357  4.4832072  -0.27887917]
4:65403406 [ 0.09805226  4.60405551 -0.28280363]
4:65574910 [ 0.0139969   4.57264542 -0.19980494]
4:65662699 [ 0.0866465   4.55459972 -0.2720703 ]
4:66272411 [ 0.05099561  4.61521922 -0.27264654]
4:66745310 [-0.37476374  5.06869339 -0.40522605]
4:67439729 [-0.28988815  4.76931585 -0.26157826]
4:68534392 [-0.10674118  4.6468065  -0.27507664]
4:70592790 [ 0.0957668   4.58902642 -0.31464103]
4:70899111 [-1.05733532  4.70063785 -0.20727382]
4:70999619 [-1.52443693e-03  4.63921871e+00 -3.30787789e-01]
4:71629537 [-0.54933354  4.71758623 -0.25010529]
4:72278430 [ 0.0572268   4.55791189 -0.24596958]
4:72386350 [ 0.05989465  4.57143962 -0.2936184 ]
4:72425863 [ 0.16776492  4.31485954 -0.27412119]
4:72578724 [-0.42334902  4.90912236 -0.30267524]
4:72601331 [-0.0549166   4.6732574  -0.21859612]
4:73149251 [-1.13486785  4.65686497 -0.21031895]
4:73821904 [ 0.22441281  4.4734223  -0.32197898]
4:74319538 [-0.67545683  4.65282929 -0.19927009]
4:74415939 [-0.60249881  4.66149119 -0.23372415]
4:74617282 [ 0.38312126  4.31703503 -0.27607982]
4:74833787 [-0.36598047  4.66893777 -0.23027383]
4:74977837 [ 0.29699503  4.32216489 -0.17275323]
4:75186254 [-0.62181999  4.97956459 -0.26964337]
4:76321147 [-0.49368067  4.85132834 -0.17356663]
4:76633325 [ 0.49098177  4.15652944 -0.19238395]
4:76903036 [ 0.12141618  4.45889783 -0.26318813]
4:77030971 [-0.21536481  4.91182694 -0.26029059]
4:77471116 [-0.21669123  4.81993825 -0.24464169]
4:77660731 [ 0.01791703  4.62857634 -0.28989171]
4:77725091 [ 0.02182604  4.59635833 -0.25147718]
4:77817874 [ 0.27440268  4.550074   -0.20978521]
4:77941741 [-0.30764612  4.76760356 -0.37489992]
4:79023544 [-0.29166163  5.09834027 -0.25860521]
4:79295322 [-0.48029583  4.64313558 -0.27139958]
4:79518494 [-1.0015748   4.64035088 -0.23877607]
4:80316079 [-0.53803046  5.06892725 -0.1075501 ]
4:80554217 [-0.1125847   4.58505324 -0.19084705]
4:80558107 [-0.50589179  4.72525534 -0.1725841 ]
4:80588739 [ 0.40954878  4.1082079  -0.28067737]
4:80735714 [ 0.43190428  3.9962502  -0.18681802]
4:80752362 [ 0.84973712  2.96937387 -0.23553868]
4:80906131 [ 0.39378626  4.09282654 -0.29117354]
4:80993133 [-0.05377962  4.70939817 -0.29556852]
4:81884722 [ 0.38091637  4.02715134 -0.3055702 ]
4:82493067 [-0.3790198   5.0783585  -0.19431777]
4:83044475 [-0.01970141  4.64659376 -0.27010009]
4:83096524 [ 0.40246385  3.96831445 -0.26610277]
4:83503020 [ 0.25916911  4.52212224 -0.22548335]
4:84074826 [ 0.60539023  3.81909251 -0.17994829]
4:84368630 [-0.79624947  4.76649994 -0.20204518]
4:84602082 [-0.42556705  4.84671209 -0.31838151]
4:84779231 [ 0.19434388  4.47754271 -0.24158992]
4:84894991 [ 0.26055527  4.55185358 -0.31736563]
4:85029894 [ 0.26169985  4.35782728 -0.33833823]
4:85189813 [ 0.33911131  4.22003751 -0.14175991]
4:85272572 [-0.40259307  4.72439865 -0.2083159 ]
4:85845116 [-0.01837614  4.64951547 -0.19783993]
4:86832756 [-0.04527747  4.63793926 -0.27541587]
4:86852097 [ 0.29117278  4.58590822 -0.24609962]
4:87096662 [-0.62823713  4.8608024  -0.16756143]
4:88117272 [ 0.03017301  4.63785083 -0.27560972]
4:88534029 [-2.24094488  4.61206897 -0.17112408]
4:88705132 [ 0.03104465  4.62321499 -0.30762146]
4:88710784 [-0.17683589  4.88241482 -0.25003394]
4:88732763 [-0.09829171  4.70382294 -0.34453531]
4:88746734 [ 0.05389829  4.60392427 -0.29131463]
4:88755967 [-0.24029035  4.68780844 -0.17387191]
4:88767008 [ 0.04246118  4.61177709 -0.27132254]
4:88808272 [ 0.32508882  4.50577344 -0.24176162]
4:88889605 [ 0.25574265  4.41507734 -0.28629776]
4:88967828 [-0.0645302  4.6250347 -0.2675075]
4:89203670 [-0.15214343  4.63927328 -0.21595245]
4:89456219 [-0.08538249  4.67584449 -0.19761027]
4:89477899 [-0.26073346  4.69261613 -0.2950752 ]
4:89647070 [-0.18275454  4.78836142 -0.27007923]
4:89772301 [-0.81545015  4.71423143 -0.1930364 ]
4:89798954 [-0.05441765  4.54242241 -0.12152603]
4:90035549 [ 0.09100155  4.61382536 -0.26674244]
4:90461313 [-0.23876946  4.75286515 -0.23616521]
4:91465511 [ 0.31549871  4.47471979 -0.22763278]
4:91764098 [-0.08533269  4.72867851 -0.24356085]
4:91884244 [-0.16268291  4.64379332 -0.20656696]
4:91973424 [-0.05122532  4.67044065 -0.25069055]
4:92366263 [-0.00819807  4.61591702 -0.2323081 ]
4:93368860 [-0.38994378  4.86906213 -0.23046575]
4:94704547 [ 0.0880377   4.52390637 -0.17760417]
4:94804559 [ 0.45269772  4.38711091 -0.24553839]
4:94881319 [ 0.08053249  4.46129658 -0.1970413 ]
4:95496882 [ 0.19713225  4.54648009 -0.26756431]
4:95563972 [ 0.25724523  4.51198248 -0.24520394]
4:95876278 [-0.2412524   4.86690568 -0.23333007]
4:95876313 [-0.15478596  4.75767368 -0.20883348]
4:95948640 [-0.54305673  4.78808327 -0.13129255]
4:96341886 [-0.17011109  4.66941567 -0.17007079]
4:97125086 [-4.53515333e-03  4.59396508e+00 -2.35528988e-01]
4:97278349 [ 0.16115476  4.4908602  -0.26978357]
4:97880409 [-0.33753914  4.78796739 -0.17300514]
4:98370425 [-0.523631    4.72088458 -0.25310362]
4:99463989 [-0.26037223  5.02310938 -0.27414842]
4:99989259 [ 0.27175145  4.20698643 -0.22995303]
4:100006184 [-0.79510168  4.71659742 -0.28670258]
4:100047812 [-0.13114159  4.67026036 -0.24847989]
4:100441886 [ 0.1774503   4.41289819 -0.26696604]
4:100642113 [-0.06799237  4.66999796 -0.27853105]
4:101114999 [-0.01678253  4.58605122 -0.28494933]
4:101229453 [ 0.03666365  4.578409   -0.28073542]
4:101503277 [-0.09736334  4.66061714 -0.29307465]
4:101953322 [-0.50715416  5.19843263 -0.22154824]
4:101971451 [-0.28551898  4.70920808 -0.26822235]
4:102209360 [ 0.26017957  4.51430926 -0.34943271]
4:102239170 [-0.66366092  4.73998739 -0.19970162]
4:102624280 [-0.27007401  5.04073403 -0.27651592]
4:104070041 [ 0.51834423  4.60621045 -0.25828149]
4:104214616 [-0.16478559  4.72728183 -0.23795937]
4:104216086 [ 0.27692202  4.53404711 -0.24925528]
4:104543891 [-0.10255312  4.68514085 -0.2490345 ]
4:104843913 [-0.27757609  4.65468132 -0.22128061]
4:104903879 [ 0.4663818   3.95231125 -0.14991503]
4:105493321 [ 0.03427283  4.55231013 -0.20993436]
4:105911182 [-0.22360796  4.80711881 -0.276084  ]
4:106717797 [ 0.25689785  4.17064271 -0.25197124]
4:106926748 [ 0.63293484  4.28843686 -0.31376561]
4:106970976 [-0.54192088  4.66201247 -0.24753539]
4:107993687 [-0.0555339   4.67357824 -0.22662068]
4:108020599 [-0.00543566  4.66205655 -0.34876932]
4:108135377 [ 0.18030057  4.31726845 -0.17888072]
4:108233063 [-0.02266418  4.65942883 -0.20036506]
4:108284661 [-0.11548015  4.64756866 -0.2061333 ]
4:108462490 [-0.22666255  4.803536   -0.18999697]
4:108530885 [ 0.41855558  4.32229463 -0.2390652 ]
4:109349464 [ 0.05127796  4.57981319 -0.26901628]
4:109723126 [-0.02860358  4.65399564 -0.2945648 ]
4:109834239 [ 0.55344558  3.74560986 -0.19126754]
4:110189698 [-0.24385377  4.70344464 -0.3084977 ]
4:110324528 [-0.25777647  4.62869371 -0.13970266]
4:110791361 [ 0.25417926  4.48930121 -0.30869841]
4:110994243 [ 0.05888793  4.62776839 -0.29901698]
4:111398208 [-0.06138735  4.74582316 -0.28901908]
4:111473485 [ 0.16381416  4.62299163 -0.30410077]
4:111724501 [-0.05329882  4.70143008 -0.22122741]
4:111986946 [-0.38913757  4.8920532  -0.28521705]
4:112588951 [ 0.22468758  4.37789128 -0.14603156]
4:112845980 [-0.16561405  4.77845203 -0.22544103]
4:112902209 [-0.40035332  4.82053067 -0.30722091]
4:113724181 [-0.03894006  4.64720296 -0.29041934]
4:113953383 [-0.05122806  4.64299168 -0.27559288]
4:114016236 [-0.03368769  4.61729637 -0.24132806]
4:114086121 [-0.54416722  4.94176134 -0.24050757]
4:114432254 [ 0.57459002  4.50636495 -0.22347558]
4:114671843 [ 0.36131414  4.34127386 -0.1973063 ]
4:115255278 [ 0.13562953  4.51586779 -0.24693635]
4:115462264 [ 0.36124456  4.53651459 -0.30327992]
4:115656533 [ 0.39823588  4.08809269 -0.1779005 ]
4:115995713 [ 0.44867778  4.40199439 -0.19341242]
4:116378717 [ 0.09336792  4.57392306 -0.29090948]
4:116999572 [-0.56460317  5.41409913 -0.20517775]
4:117407113 [-0.25063726  4.93776365 -0.18890098]
4:117585086 [-0.23970969  4.64741695 -0.24811087]
4:117832770 [ 0.2896284   4.34361149 -0.2090207 ]
4:117976279 [ 0.28160543  4.38930385 -0.2534224 ]
4:118145893 [-0.12657648  4.70374399 -0.19401439]
4:118638662 [-0.28315511  4.68579339 -0.19738206]
4:118738469 [-1.04412588  4.74148693 -0.18840673]
4:119219909 [ 0.15281564  4.56090954 -0.19872999]
4:119896331 [ 0.14420662  4.4965037  -0.21511701]
4:119948046 [-0.11171498  4.6537769  -0.26899429]
4:119980501 [-0.31531513  4.76940232 -0.23460218]
4:120005814 [ 0.27744907  4.258199   -0.26045544]
4:120048884 [ 0.08623915  4.52802271 -0.25746452]
4:120214030 [ 0.28189312  4.48525669 -0.23962713]
4:120643124 [-0.47062946  4.72851595 -0.26959317]
4:120757419 [ 0.02468927  4.62161041 -0.29025577]
4:120775160 [-0.79338777  4.77472203 -0.26295633]
4:121033187 [-0.24388228  4.86153744 -0.28158122]
4:121581769 [-0.12540782  4.69225678 -0.27875957]
4:121738049 [-0.01415178  4.64087811 -0.30201578]
4:122301622 [ 0.66717044  4.54669966 -0.30794179]
4:122348834 [ 0.29410991  4.42582591 -0.27946777]
4:122744067 [-0.36451398  4.68829205 -0.21027308]
4:122806228 [ 0.29083389  4.21467646 -0.26702562]
4:123329362 [ 0.35753282  4.49483613 -0.25330111]
4:123509421 [ 0.19536281  4.62139377 -0.23786908]
4:123536963 [-0.2400541   5.04366176 -0.27767802]
4:123664445 [ 0.26106675  4.47363903 -0.27758488]
4:125465163 [-0.03392337  4.70363288 -0.32273608]
4:125996360 [-0.10499149  4.84614662 -0.3506953 ]
